ID,num_songtyp,uni_notetyp,avg_songlength,avg_songbw,avg_min,avg_max,avg_note_bw,terr_size,max_height,avg_height,ground,low,med,high,very_high
GC-BCVI-KSWM-24,13,40,0.806,3864.375,2546.25,6293.438,1396.369,5988.568,27.805,1,78.707,12.439,3.598,1.934,3.322
GC-BCVI-BSWY-24,23,38,0.629,3924.375,2510.625,6435,1602.455,2516.121,24.22,1.722,66.181,14.474,8.429,4.879,6.037
GC-BCVI-GGOS-24,12,31,0.742,4089.375,2448.75,6538.125,1527.287,4565.663,21.65,0.992,74.258,14.372,5.949,2.694,2.726
GC-BCVI-GOMS-24,16,39,0.674,3860.625,2735.625,6596.25,1763.549,6795.931,18.62,0.424,79.591,16.35,2.905,0.693,0.461
GC-BCVI-KKWS-24,19,42,0.642,4012.5,2583.75,6596.25,1741.627,1594.612,23.32,1.686,56.691,22.679,12.446,4.557,3.627
GC-BCVI-MWYS-24,11,27,0.618,3206.25,2506.875,5713.125,1275.855,2664.511,21.88,1.744,64.195,17.219,8.921,3.031,6.634
GC-BCVI-RSKB-24,16,31,0.58,3823.125,2420.625,6243.75,1642.986,3130.488,25.37,1.682,63.207,18.448,9.458,3.589,5.298
GC-BCVI-UB6-24,16,38,0.622,3367.5,2581.875,5949.375,1317.277,5738.151,23.72,0.538,83.455,10.675,3.427,1.155,1.287
GC-BCVI-WSRO-24,22,46,0.526,3868.125,2465.625,6543.75,1827.357,2403.9,16.15,0.255,86.403,11.225,1.657,0.425,0.289
GC-BCVI-MSGY-24,17,50,0.701,3778.125,2475,6091.875,1521.763,1798.887,23.93,1.808,61.931,16.738,10.032,5.744,5.554
GC-BCVI-BBMS-25,19,40,0.536,3225,2482.5,6253.125,1127.202,4604.23,23.74,0.747,80.501,12.181,3.512,1.745,2.061
GC-BCVI-BOSK-25,14,36,0.54,3463.125,2685,5707.5,1153.569,12098.299,23.76,0.903,75.417,14.749,5.518,2.331,1.985
GC-BCVI-OBKS-25,15,35,0.628,3491.25,2518.125,6009.375,1371.019,3661.021,25.02,0.698,77.971,15.631,3.233,1.249,1.916
GC-BCVI-OSKW-25,11,49,0.965,4479.375,2266.875,6746.25,2117.62,10994.637,33.35,3.853,54.155,15.9,8.595,3.81,17.539
GC-BCVI-UB1-25,18,58,0.655,3982.5,2625,6607.5,1603.603,4249.064,27.55,0.678,81.3,11.469,4.42,1.106,1.706
GC-BCVI-UB7-25,16,53,0.799,3871.875,2257.5,6129.375,1676.586,2055.787,30.49,3.621,48.494,15.635,12.072,8.663,15.136
GC-BCVI-WOYS-25,14,40,0.652,3795,2722.5,6517.5,1653.382,4162.043,23.7,1.01,72.273,16.807,5.804,1.86,3.257
GC-BCVI-YMMS-25,19,55,0.626,3907.5,2540.625,6448.125,1572.459,10701.13,28.38,2.457,58.168,16.568,10.652,5.904,8.708
GC-BCVI-YSBB-24,16,35,0.694,4170,2373.75,5949.375,1709.681,7781.19,26.76,0.903,78.787,12.664,3.746,2.048,2.755
GC-BCVI-BWMS-24,15,39,0.808,3525,2409.375,5934.375,1475.543,5677.926,25.02,0.548,80.036,14.939,2.794,0.939,1.291
GC-BCVI-BBGS-24,11,43,0.825,4425,2409.375,6834.375,1309.724,3927.471,25.14,1.056,67.204,21.471,6.783,2.347,2.195
GC-BCVI-KMGS-24,19,41,0.594,3731.25,2675.625,6406.875,1478.754,3326.171,20.67,0.496,82.267,12.343,3.608,1.145,0.637
GC-BCVI-OSYR-24,15,34,0.597,3343.125,2797.5,6140.625,1235.156,4772.81,21.28,0.839,74.103,16.913,5.023,1.402,2.558
GC-BCVI-MSWY-24,16,48,0.727,3721.875,2370,6091.875,1345.174,3775.958,19.41,0.644,77.508,15.306,4.416,1.809,0.961
GC-BCVI-BSRO-25,11,35,0.778,3997.5,2471.25,6468.75,1671.445,2238.47,25.17,1.851,59.554,19.557,11.192,4.217,5.481
GC-BCVI-GSBM-25,22,68,1.524,5446.875,2340,7786.875,1891.534,5506.773,23.04,2.396,56.309,16.695,10.361,7.335,9.3
GC-BCVI-GWOS-25,24,31,0.445,4126.875,2829.375,6956.25,1875,17629.239,31.85,1.302,74.443,13.4,5.135,2.801,4.222
GC-BCVI-KSWR-25,15,33,0.721,4119.375,2424.375,6543.75,1572.306,3143.872,20.81,0.783,77.018,13.446,5.516,2.585,1.434
GC-BCVI-MOMS-25,7,17,0.542,4235.625,2589.375,6825,1945.437,805.941,19.18,2.902,52.864,13.237,12.132,11.454,10.314
GC-BCVI-MSOO-25,19,48,0.558,3481.875,2501.25,5983.125,1500.649,5784.232,21.07,0.725,75.951,15.868,5.2,1.542,1.438
GC-BCVI-OSKR-25,8,37,0.774,4601.25,2338.125,6939.375,1770.285,5717.28,34.4,5.049,38.632,16.254,13.698,9.611,21.806
GC-BCVI-RBMS-25,23,58,0.633,3504.375,2615.625,6120,1636.664,3665.809,24.72,2.752,50.15,17.99,13.501,9.365,8.994
GC-BCVI-OGBS-245,12,31,0.535,3849.375,2401.875,6251.25,1681.993,3796.307,23.74,1.086,68.54,19.318,6.972,3.089,2.081
GC-BCVI-RSRG-25,11,32,0.722,3601.875,2452.5,6054.375,1632.966,9693.606,27.51,1.803,67.043,14.808,7.731,3.119,7.299
