id,num_songtyp,uni_notetyp,avg_songlength,avg_minfreq,avg_songbw,avg_max,avg_note_bw,muscle,fat,wing,tail,tarsus,mass,beak_l,beak_w,beak_d,tip_nares,scaledmass
GC-BCVI-BSWY-24,23,38,0.6293676,2510.625,3924.375,6435,1602.455357,2,3,55.1,46,17.4,9.8,8.82,4.2,3.2,7.2,9.803721325
GC-BCVI-BWMS-24,15,39,0.807778,2409.375,3525,5934.375,1475.543478,2,2,55.5,42,19.25,10,9.8,5.2,3.2,7.7,9.853552347
GC-BCVI-BBGS-24,11,43,0.824688,2409.375,4425,6834.375,1309.723804,3,1,56.5,46,16.82,9,8.95,4.7,3.1,6.9,8.542996316
GC-BCVI-GGOS-24,12,31,0.741914,2448.75,4089.375,6538.125,1527.287464,3,1,56,44.5,18.1,9.8,9.2,4.1,3,7.3,9.476983562
GC-BCVI-GOMS-24,16,39,0.674266,2735.625,3860.625,6596.25,1763.548951,3,1,55,43,18.1,8.9,9.8,4.6,3.2,7.8,8.937279846
GC-BCVI-KKWS-24,19,42,0.64216,2583.75,4012.5,6596.25,1741.627358,3,2,56,44.5,19.4,10,9,4.9,3.2,6.9,9.670391389
GC-BCVI-KMGS-24,19,41,0.59399,2675.625,3731.25,6406.875,1478.754496,3,2,54.2,45,18,9,9.65,4.2,3.15,7,9.31902897
GC-BCVI-MWYS-24,11,27,0.617584,2506.875,3206.25,5713.125,1275.855049,3,0,56,48,19,9.5,8.5,4.5,3.4,7.2,9.18687182
GC-BCVI-OSYR-24,15,34,0.59728,2797.5,3343.125,6140.625,1235.15625,3,1,54,46,17.8,8.8,9.4,4.95,3.1,7.4,9.182685885
GC-BCVI-RSKB-24,16,31,0.579834,2420.625,3823.125,6243.75,1642.985612,3,2,54,45,19.3,8.8,9.4,4.5,2.9,7.3,9.182685885
GC-BCVI-YSBB-24,16,35,0.693784,2373.75,4170,5949.375,1709.680599,3,2,55,44,17.2,9.2,9.5,4.7,3.2,7.6,9.23853647
GC-BCVI-WSRO-24,22,46,0.526216,2465.625,3868.125,6543.75,1827.356557,3,2,52.5,43,18.3,8.9,9.6,5,3.2,7.3,9.85082556
GC-BCVI-MSWY-24,16,48,0.726972,2370,3721.875,6333.75,1345.174263,3,1,52.5,47,18.7,9,8.5,4.5,3.2,7.4,9.961508993
GC-BCVI-MSGY-24,17,50,0.70094,2475,3778.125,6091.875,1521.763393,3,0,58,47,18.9,9,9.4,4.85,3.2,7.5,8.087293457
GC-BCVI-BBMS-25,19,40,0.536,2482.5,3225,6253.125,1127.202181,3,0,55,46,18.2,8.3,8.1,3.9,2.9,6.1,8.334766598
GC-BCVI-BOSK-25,14,36,0.539674,2685,3463.125,5707.5,1153.568787,3,1,55,43,18.1,8.62,7.7,4.3,3.3,5.9,8.656106997
GC-BCVI-BSRO-25,11,35,0.77797,2471.25,3997.5,6148.125,1671.444954,2,1,55,49,18.2,8.1,7.9,3.4,3.6,5.9,8.133928849
GC-BCVI-GSBM-25,22,68,1.523954,2340,5446.875,6468.75,1891.533771,2,1,53,45,18.7,7.9,9.6,4.5,3.5,6.2,8.572302586
GC-BCVI-GWOS-25,24,31,0.445062,2829.375,4126.875,7786.875,1875,2,0,53,45,18.8,8.45,9,4.6,3.9,5.4,9.169108463
GC-BCVI-KSWR-25,15,33,0.721132,2424.375,4119.375,6956.25,1572.305718,2,0,56,49,18.6,9,8.6,3,3.3,6.5,8.70335225
GC-BCVI-MOMS-25,7,17,0.542046,2589.375,4235.625,6825,1945.436508,3,1,56,46,18.5,8.53,8.5,4,3,5.5,8.248843855
GC-BCVI-MSOO-25,19,48,0.558164,2501.25,3481.875,5983.125,1500.648789,2,2,58,45,18.3,7.45,8.8,3.5,3.1,6.1,6.694481806
GC-BCVI-OSKR-25,8,37,0.77385,2338.125,4601.25,6939.375,1770.285088,2,1,55,45,17.9,8.54,8.6,3.7,3.3,6,8.575771897
GC-BCVI-RBMS-25,23,58,0.63301,2615.625,3504.375,6120,1636.663732,2,1,56,47,18.2,8.14,7.8,4.1,3.1,5.9,7.871698591
GC-BCVI-WOYS-25,14,40,0.651774,2722.5,3795,6517.5,1653.38212,3,1,55,49,17.6,8.84,9,4.5,3.1,5.6,8.877028521
GC-BCVI-YMMS-25,19,55,0.626228,2540.625,3907.5,6448.125,1572.458791,3,1,57,49,17.7,8.57,8.7,3.6,3.5,6.3,7.986258212
GC-BCVI-KSWM-245,12,38,0.741953,2546.25,3747.1875,6293.438,1436.676469,3,1,54,46.5,18.7,8.9,9.6,4.6,3.4,7.3,9.287034588
GC-BCVI-OGBS-245,12,31,0.534591,2401.875,3849.375,6251.25,1681.9927,3,2,55.5,46,18.7,9.8,9.9,4.5,3.3,7.6,9.6564813
