File Name ,Song Type,# Song Types,# Notes,# Unique Note Types ,# Note Types,Song Length,PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth,Note Length (s),PFC Max Freq (Hz),PFC Min Freq (Hz),Bandwidth
GC-BCVI-KSWM-24-4-T1,a,13,6,40,3,0.727,5812.5,2531.25,3281.25,0.101,3843.75,2531.25,1312.5,0.0704,5812.5,3937.5,1875,0.0484,3562.5,2718.75,843.75,0.0526,3187.5,2812.5,375,0.0652,3281.25,2812.5,468.75,0.0442,3187.5,2906.25,281.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-74-T16,a,13,7,40,3,0.849,5250,2343.75,2906.25,0.1145,5156.25,3375,1781.25,0.0792,5250,3843.75,1406.25,0.056,3375,2343.75,1031.25,0.0523,3562.5,2718.75,843.75,0.0548,3187.5,2718.75,468.75,0.0487,3093.75,2718.75,375,0.0536,3187.5,2718.75,468.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-15-T1,a,13,7,40,3,0.8539,5437.5,2718.75,2718.75,0.1389,5343.75,3468.75,1875,0.057,5437.5,3937.5,1500,0.0353,3468.75,2718.75,750,0.0474,3187.5,2812.5,375,0.0586,3468.75,2906.25,562.5,0.0508,3281.25,2906.25,375,0.0474,3000,2812.5,187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-18-T13,a,13,6,40,3,1.9893,6093.75,2250,3843.75,0.1482,5250,3281.25,1968.75,0.1568,6093.75,3656.25,2437.5,0.0663,4593.75,2531.25,2062.5,0.0579,3468.75,2812.5,656.25,0.0658,3093.75,2812.5,281.25,0.05,3000,2625,375,0.0577,3281.25,2718.75,562.5,0.0791,5906.25,3093.75,2812.5,0.0791,5906.25,3281.25,2625,0.0362,2906.25,2343.75,562.5,0.0388,3000,2250,750,0.0336,2906.25,2250,656.25,0.2778,5437.5,2625,2812.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-6-T1,a,13,8,40,3,1.0032,5625,2625,3000,0.1223,5343.75,2625,2718.75,0.0823,5625,3468.75,2156.25,0.0674,3843.75,2625,1218.75,0.0591,3375,2718.75,656.25,0.0591,3468.75,2906.25,562.5,0.0484,3093.75,2812.5,281.25,0.0784,3093.75,2812.5,281.25,0.0809,3281.25,2812.5,468.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-117-T1,a,13,7,40,3,0.9802,6000,2531.25,3468.75,0.1357,6000,4125,1875,0.0701,4125,2531.25,1593.75,0.0507,3937.5,2625,1312.5,0.0567,3843.75,2718.75,1125,0.0701,4031.25,2812.5,1218.75,0.0619,3937.5,2718.75,1218.75,0.0663,3750,2718.75,1031.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-52-T43,j,13,9,40,4,0.7789,6656.25,2156.25,4500,0.126,6656.25,4125,2531.25,0.042,4125,2156.25,1968.75,0.1182,5531.25,3843.75,1687.5,0.0295,4406.25,3093.75,1312.5,0.0311,4125,3281.25,843.75,0.0302,3843.75,3375,468.75,0.027,4406.25,3468.75,937.5,0.0299,4968.75,3468.75,1500,0.0285,4406.25,3375,1031.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-76-T23,k,13,10,40,4,0.8095,6468.75,2250,4218.75,0.0312,5531.25,3656.25,1875,0.046,6468.75,5812.5,656.25,0.1334,3750,2812.5,937.5,0.0464,5250,3937.5,1312.5,0.0445,5250,3656.25,1593.75,0.0367,4593.75,2812.5,1781.25,0.0367,4218.75,2625,1593.75,0.0338,3843.75,2812.5,1031.25,0.0358,3750,2250,1500,0.0348,3562.5,2250,1312.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-113-T16,a,13,8,40,3,0.8914,8156.25,2343.75,5812.5,0.0827,8156.25,5531.25,2625,0.1396,5156.25,3093.75,2062.5,0.0733,5250,3937.5,1312.5,0.0601,3375,2343.75,1031.25,0.0538,3562.5,2625,937.5,0.05,3187.5,2812.5,375,0.0543,3187.5,2812.5,375,0.0534,3000,2812.5,187.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GC-BCVI-KSWM-24-44-T43,a,13,8,40,3,0.7862,6656.25,2250,4406.25,0.1116,6656.25,4125,2531.25,0.0531,4218.75,2250,1968.75,0.1054,5250,4875,375,0.0331,4031.25,3187.5,843.75,0.0381,4218.75,3187.5,1031.25,0.0389,4218.75,3281.25,937.5,0.0393,4312.5,3281.25,1031.25,0.0527,4500,3281.25,1218.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
