male_ID,num_notes,num_notetype,song_length,pfcmax,pfcmin,bandwidth
KSWM,6,3,0.727,5812.5,2531.25,3281.25
KSWM,7,3,0.849,5250,2343.75,2906.25
KSWM,7,3,0.8539,5437.5,2718.75,2718.75
KSWM,6,3,1.9893,6093.75,2250,3843.75
KSWM,8,3,1.0032,5625,2625,3000
KSWM,7,3,0.9802,6000,2531.25,3468.75
KSWM,9,4,0.7789,6656.25,2156.25,4500
KSWM,10,4,0.8095,6468.75,2250,4218.75
KSWM,8,3,0.8914,8156.25,2343.75,5812.5
KSWM,8,3,0.7862,6656.25,2250,4406.25
KSWM,6,3,0.5787,5906.25,2625,3281.25
KSWM,6,3,0.2032,5062.5,3000,2062.5
KSWM,5,2,0.5492,5437.5,3375,2062.5
KSWM,8,3,0.8043,6562.5,2156.25,4406.25
KSWM,9,4,0.8162,6656.25,2250,4406.25
KSWM,8,3,0.8647,6843.75,2437.5,4406.25
KSWM,6,3,0.6076,5437.5,3281.25,2156.25
KSWM,7,3,0.682,6468.75,2156.25,4312.5
KSWM,6,3,0.5931,6656.25,2156.25,4500
KSWM,5,2,0.4962,5625,3375,2250
KSWM,8,4,0.8843,6187.5,3093.75,3093.75
KSWM,8,4,0.8004,6375,2156.25,4218.75
KSWM,6,3,0.5366,6281.25,2718.75,3562.5
KSWM,5,2,0.4257,6281.25,2437.5,3843.75
KSWM,6,3,0.6321,8625,2625,6000
KSWM,5,3,0.4816,6375,3000,3375
KSWM,6,3,0.5351,6468.75,2625,3843.75
KSWM,9,4,1.0057,6281.25,2156.25,4125
KSWM,8,4,0.8156,6187.5,2812.5,3375
KSWM,10,5,1.5441,7218.75,2625,4593.75
KSWM,6,3,0.5479,6468.75,2437.5,4031.25
KSWM,9,4,1.0725,6750,2812.5,3937.5
KSWM,7,3,0.8256,6375,2062.5,4312.5
KSWM,6,3,0.5828,6187.5,2343.75,3843.75
KSWM,5,4,1.1704,7406.25,2250,5156.25
KSWM,12,4,1.5507,6937.5,2343.75,4593.75
KSWM,7,4,0.9222,7218.75,2156.25,5062.5
KSWM,11,4,1.2387,5906.25,2437.5,3468.75
KSWM,38,11,3.311,6375,2343.75,4031.25
KSWM,3,2,0.515,7312.5,3375,3937.5
KSWM,3,2,0.458,7031.25,2156.25,4875
KSWM,6,3,0.8708,7218.75,2156.25,5062.5
KSWM,3,2,0.5842,6843.75,2437.5,4406.25
KSWM,3,2,0.3531,7031.25,3187.5,3843.75
KSWM,3,2,0.4029,6843.75,2906.25,3937.5
KSWM,3,2,0.3707,6562.5,3093.75,3468.75
KSWM,8,3,0.7373,6000,2062.5,3937.5
KSWM,6,2,0.4673,7031.25,2625,4406.25
KSWM,2,1,0.134,4875,3750,1125
KSWM,5,3,0.6774,6000,2250,3750
BSWY,5,2,0.4643,5812.5,2062.5,3750
BSWY,5,2,0.4544,5906.25,2625,3281.25
BSWY,5,2,0.4411,5718.75,2437.5,3281.25
BSWY,5,2,0.4087,6000,2343.75,3656.25
BSWY,8,2,0.5638,7406.25,2343.75,5062.5
BSWY,8,2,0.05278,7312.5,2625,4687.5
BSWY,8,2,0.5425,6656.25,2343.75,4312.5
BSWY,8,2,0.542,7406.25,2625,4781.25
BSWY,7,5,1.1023,7031.25,2437.5,4593.75
BSWY,7,5,1.0817,6656.25,2343.75,4312.5
BSWY,7,5,1.0166,6656.25,2343.75,4312.5
BSWY,5,3,0.5133,6281.25,2437.5,3843.75
BSWY,7,5,0.9782,6937.5,2437.5,4500
BSWY,7,5,1.0932,6375,2250,4125
BSWY,2,2,0.4231,5625,3281.25,2343.75
BSWY,2,2,0.4506,5718.75,3281.25,2437.5
BSWY,1,1,0.2592,4218.75,3093.75,1125
BSWY,5,3,0.3983,6750,2062.5,4687.5
BSWY,8,4,1.01,6468.75,2062.5,4406.25
BSWY,6,4,0.4627,7500,2250,5250
BSWY,5,3,0.4271,6562.5,2062.5,4500
BSWY,1,1,0.104,6562.5,2156.25,4406.25
BSWY,1,1,0.0581,5906.25,4500,1406.25
BSWY,1,1,0.1114,6375,3093.75,3281.25
BSWY,8,3,0.6756,6000,2343.75,3656.25
BSWY,9,3,0.7756,6843.75,2156.25,4687.5
BSWY,6,4,0.81,5625,2437.5,3187.5
BSWY,6,4,0.8287,5156.25,2156.25,3000
BSWY,8,4,0.9939,7312.5,2250,5062.5
BSWY,8,4,1.0602,7500,2156.25,5343.75
BSWY,6,4,0.9252,6468.75,1968.75,4500
BSWY,6,4,0.8822,6937.5,2156.25,4781.25
BSWY,3,2,0.4361,5718.75,2437.5,3281.25
BSWY,2,1,0.1894,4875,3375,1500
BSWY,4,3,0.872,7125,2156.25,4968.75
BSWY,1,1,0.2991,5812.5,3281.25,2531.25
BSWY,1,1,0.1757,5625,4593.75,1031.25
BSWY,1,1,0.2865,7968.75,3187.5,4781.25
BSWY,5,2,0.4216,6468.75,2156.25,4312.5
BSWY,4,2,0.439,6187.5,3187.5,3000
BSWY,5,2,0.6658,6656.25,1968.75,4687.5
BSWY,5,2,0.5477,7312.5,2062.5,5250
BSWY,5,3,0.6035,7406.25,2718.75,4687.5
BSWY,8,5,0.9895,6843.75,2062.5,4781.25
BSWY,5,3,0.6542,7968.75,2156.25,5812.5
BSWY,10,6,1.3604,6843.75,2062.5,4781.25
BSWY,9,3,0.8396,6375,3375,3000
BSWY,3,2,0.3763,4875,2343.75,2531.25
BSWY,11,4,1.2692,7218.75,2156.25,5062.5
BSWY,4,4,0.4056,5343.75,2156.25,3187.5
BWMS,10,4,1.1893,6843.75,2062.5,4781.25
BWMS,10,4,1.227,6562.5,2062.5,4500
BWMS,11,4,1.3394,6281.25,1968.75,4312.5
BWMS,11,4,1.2943,5531.25,1968.75,3562.5
BWMS,11,4,1.1779,6093.75,1968.75,4125
BWMS,10,4,1.2678,5531.25,2156.25,3375
BWMS,7,3,0.9373,6093.75,2062.5,4031.25
BWMS,10,4,1.2178,7125,2156.25,4968.75
BWMS,4,2,0.446,6468.75,2062.5,4406.25
BWMS,10,4,1.2001,6750,2156.25,4593.75
BWMS,10,4,1.1794,7125,2062.5,5062.5
BWMS,8,5,1.0386,6187.5,2156.25,4031.25
BWMS,8,5,0.9883,6468.75,2250,4218.75
BWMS,8,5,1.0243,6562.5,2250,4312.5
BWMS,6,2,0.4576,5718.75,2343.75,3375
BWMS,7,3,0.7703,4875,2343.75,2531.25
BWMS,7,3,0.5049,4968.75,2250,2718.75
BWMS,6,2,0.4486,5062.5,2343.75,2718.75
BWMS,6,2,0.4905,5437.5,2343.75,3093.75
BWMS,6,2,0.5081,5531.25,2250,3281.25
BWMS,6,2,0.5341,5343.75,2250,3093.75
BWMS,3,3,0.4974,5531.25,2718.75,2812.5
BWMS,3,3,0.5355,5250,2437.5,2812.5
BWMS,3,3,0.4914,5062.5,2531.25,2531.25
BWMS,3,3,0.5283,5343.75,2625,2718.75
BWMS,6,2,0.6318,5625,2343.75,3281.25
BWMS,5,2,0.5093,5906.25,2531.25,3375
BWMS,6,2,0.6,5343.75,2437.5,2906.25
