ID,num_song_types,avg_num_notes_per_song,num_unique_note_types,avg_num_note_types_per_song,avg_song_length,avg_pfc_max,avg_pcf_min,avg_song_bandwidth,avg_note_bandwidth
GC-BCVI-KSWM-24,13,7.18,40,3.2,0.80635,6429.375,2565,3864.375,1396.369405
GC-BCVI-BSWY-24,23,5.48,38,2.9,0.6293676,6435,2510.625,3924.375,1602.455357
GC-BCVI-BWMS-24,15,6.9,39,3.44,0.807778,5934.375,2409.375,3525,1475.543478
GC-BCVI-BBGS-24,11,6.66,43,3.46,0.824688,6834.375,2409.375,4425,1309.723804
GC-BCVI-GGOS-24,12,6.94,31,3.26,0.741914,6538.125,2448.75,4089.375,1527.287464
GC-BCVI-GOMS-24,16,5.72,39,2.56,0.674266,6596.25,2735.625,3860.625,1763.548951
GC-BCVI-KKWS-24,19,5.3,42,2.8,0.64216,6596.25,2583.75,4012.5,1741.627358
GC-BCVI-KMGS-24,19,5.58,41,2.92,0.59399,6406.875,2675.625,3731.25,1478.754496
GC-BCVI-MWYS-24,11,6.04,27,2.7,0.617584,5713.125,2506.875,3206.25,1275.855049
GC-BCVI-OGBS-24,15,5.14,35,3.08,0.519996,6427.5,2400,4027.5,1589.372568
GC-BCVI-OSYR-24,15,5.6,34,2.86,0.59728,6140.625,2797.5,3343.125,1235.15625
GC-BCVI-RSKB-24,16,5.54,31,3.02,0.579834,6243.75,2420.625,3823.125,1642.985612
GC-BCVI-UB6-24,16,6.3,38,2.94,0.62217,5949.375,2581.875,3367.5,1317.27707
GC-BCVI-YSBB-24,16,6.32,35,3.38,0.693784,6543.75,2373.75,4170,1709.680599
GC-BCVI-WSRO-24,22,4.9,46,2.62,0.526216,6333.75,2465.625,3868.125,1827.356557
GC-BCVI-MSWY-24,16,7.44,48,3.48,0.726972,6091.875,2370,3721.875,1345.174263
GC-BCVI-MSGY-24,17,6.82,50,3.4,0.70094,6253.125,2475,3778.125,1521.763393
GC-BCVI-BBMS-25,19,5.94,40,2.72,0.536,5707.5,2482.5,3225,1127.202181
GC-BCVI-BOSK-25,14,6.74,36,2.84,0.539674,6148.125,2685,3463.125,1153.568787
GC-BCVI-BSRO-25,11,6.52,35,3.04,0.77797,6468.75,2471.25,3997.5,1671.444954
GC-BCVI-GSBM-25,22,10.68,68,6.16,1.523954,7786.875,2340,5446.875,1891.533771
GC-BCVI-GWOS-25,24,4.98,31,1.98,0.445062,6956.25,2829.375,4126.875,1875
GC-BCVI-KSWM-25,10,6.66,35,2.96,0.677556,6157.5,2527.5,3630,1476.983533
GC-BCVI-KSWR-25,15,6.86,33,3.16,0.721132,6543.75,2424.375,4119.375,1572.305718
GC-BCVI-MOMS-25,7,3.78,17,2.34,0.542046,6825,2589.375,4235.625,1945.436508
GC-BCVI-MSOO-25,19,5.78,48,2.86,0.558164,5983.125,2501.25,3481.875,1500.648789
GC-BCVI-OBKS-25,15,6.28,35,2.62,0.627664,6009.375,2518.125,3491.25,1371.019108
GC-BCVI-OGBS-25,9,4.54,27,2.78,0.549186,6075,2403.75,3671.25,1774.612832
GC-BCVI-OSKR-25,8,6.84,37,3.62,0.77385,6939.375,2338.125,4601.25,1770.285088
GC-BCVI-OSKW-25,11,8.36,49,4.88,0.965128,6746.25,2266.875,4479.375,2117.620482
GC-BCVI-RBMS-25,23,5.7,58,2.62,0.63301,6120,2615.625,3504.375,1636.663732
GC-BCVI-RSRG-25,11,6.16,32,3.02,0.721658,6054.375,2452.5,3601.875,1632.965686
GC-BCVI-UB1-25,18,6.28,58,3.44,0.655242,6607.5,2625,3982.5,1603.602707
GC-BCVI-UB7-25,16,6.68,53,3.74,0.798716,6129.375,2257.5,3871.875,1676.585821
GC-BCVI-WOYS-25,14,6.32,40,2.76,0.651774,6517.5,2722.5,3795,1653.38212
GC-BCVI-YMMS-25,19,5.48,55,2.78,0.626228,6448.125,2540.625,3907.5,1572.458791
