ID,avgcanopy_tenm,avgvegh_tenm,shrub_percent,tree_percent,number_trees,number_shrubs,num_songtyp,uni_notetyp,avg_songlength,avg_songbw,avg_note_bw,avg_min,avg_max
GC-BCVI-KSWM-24,32.525,31.95955,12.5,5,21,52,13,40,0.80635,3864.375,1396.369405,2546.25,6293.438
GC-BCVI-BSWY-24,24.05,14.0589,10,0,8,90,23,38,0.6293676,3924.375,1602.455357,2510.625,6435
GC-BCVI-GGOS-24,17.525,11.6324,10,0,16,114,12,31,0.741914,4089.375,1527.287464,2448.75,6538.125
GC-BCVI-GOMS-24,19.875,8.101,2.5,2.5,18,51,16,39,0.674266,3860.625,1763.548951,2735.625,6596.25
GC-BCVI-KKWS-24,48.675,20.66925,22.5,15,358,173,19,42,0.64216,4012.5,1741.627358,2583.75,6596.25
GC-BCVI-MWYS-24,37.625,10.91565,8,5,99,92,11,27,0.617584,3206.25,1275.855049,2506.875,5713.125
GC-BCVI-RSKB-24,23.3,12.1158,2.5,0,20,97,16,31,0.579834,3823.125,1642.985612,2420.625,6243.75
GC-BCVI-UB6-24,14.475,16.13375,12.5,0,13,76,16,38,0.62217,3367.5,1317.27707,2581.875,5949.375
GC-BCVI-WSRO-24,35.675,32.581,7.5,15,65,51,22,46,0.526216,3868.125,1827.356557,2465.625,6543.75
GC-BCVI-MSGY-24,42.375,14.478,32.5,0,22,204,17,50,0.70094,3778.125,1521.763393,2475,6091.875
GC-BCVI-BBMS-25,24.225,30.861,10,5,17,133,19,40,0.536,3225,1127.202181,2482.5,6253.125
GC-BCVI-BOSK-25,45.425,12.4968,5,12.5,218,54,14,36,0.539674,3463.125,1153.568787,2685,5707.5
GC-BCVI-OBKS-25,35.95,8.1534,5,0,24,193,15,35,0.627664,3491.25,1371.019108,2518.125,6009.375
GC-BCVI-OSKW-25,23.775,6.3246,0,0,19,100,11,49,0.965128,4479.375,2117.620482,2266.875,6746.25
GC-BCVI-UB1-25,23.975,22.86,0,0,83,51,18,58,0.655242,3982.5,1603.602707,2625,6607.5
GC-BCVI-UB7-25,61.625,7.0104,0,0,42,103,16,53,0.798716,3871.875,1676.585821,2257.5,6129.375
GC-BCVI-WOYS-25,48.3,2.9718,0,0,50,148,14,40,0.651774,3795,1653.38212,2722.5,6517.5
GC-BCVI-YMMS-25,32.075,9.525,0,0,12,29,19,55,0.626228,3907.5,1572.458791,2540.625,6448.125
GC-BCVI-YSBB-24,51.85,28.45375,12.5,8.75,23,103,16,35,0.693784,4170,1709.680599,2373.75,5949.375
